Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BK,941,50,306,129.02,3001,13,39,11217,L105,78,38,2600,3,6,3D,48 PARK PLACE,R6B,,,,,,,,,,N,W8,8,0,C,DCAS/DEPARTMENT OF ED,22480,64350,64350,0,0,0,0,0,0,64350,2,1,3,0,1,0,0,179,200,,2,N,8,1,711000,3818700,711000,3818700,1900,0,0,Park Slope Historic District Extension I,,2.86,2,0,2,3,3009410050,0,12902,990726,186586,16c,,306 039,30401,,3009410030,10/30/1990,1,,,17v1.1,59.34265734
BK,5719,48,312,192,2008,20,44,11219,E247,66,31,8010,3,12,1C,1369 61 STREET,M1-1,,,,,,,,,,N,K1,5,0,,1367 & 1369  REALTY A,2000,1600,1600,0,0,1600,0,0,0,0,2,1,1,0,1,20,100,20,80,,0,N,5,5,13500,94950,0,0,1931,0,0,,,0.8,0,1,2.4,3,3057190048,0,192,985029,167840,22c,,306A063,31708,,0,,1,,,17v1.1,59.34375
BK,5734,3,311,192,2011,20,38,11219,L172,62,31,8010,3,10,4C,6217 14 AVENUE,M1-1,,,,,,,,,,N,K1,5,0,,6202-6217 REALTY LLC,2000,1600,1600,0,0,0,0,0,1600,0,2,1,3,0,1,20,100,20,80,,0,N,5,5,27000,94950,0,0,1931,0,0,,,0.8,0,1,2.4,3,3057340003,0,192,984892,167285,22d,,310A001,31709,,0,,1,,,17v1.1,59.34375
BK,1095,3,306,167,3000,15,39,11215,E220,78,39,4600,3,6,5E,1017 8 AVENUE,R6B,,,,,,,,,,N,C6,2,0,P,1017 8TH AVE OWNERS C,1721,4548,0,4548,0,0,0,0,0,0,2,1,4,4,4,19.25,89.42,19.25,50,,0,N,5,2,7834,269900,7080,7080,1960,0,0,Park Slope Historic District Extension,,2.64,2,0,2,3,3010950003,0,167,989851,181414,16d,,306 046,30406,,0,,1,,,17v1.1,59.34476693
BK,2305,16,301,517,1003,14,33,11211,E229,94,30,400,3,1,1A,180 NORTH 10 STREET,M1-2/R6A,,,,,,MX-8,,,,N,S5,4,0,,FIVE EAST STAR REALTY,2500,8517,1703,6814,0,0,0,0,0,1703,2,1,4.25,6,7,25,100,25,68,,3,N,5,2,62300,505440,0,437898,2010,2009,0,,,3.41,3,2,3,3,3023050016,0,517,996601,201195,13a,,304 018,30804,E-138,0,,1,,,17v1.1,59.34483973
BK,7319,36,315,580,2002,21,48,11229,E246,61,37,8710,3,15,1E,2072 EAST 15 STREET,R5,,,,C1-3,,,,,,N,P5,8,0,P,PAUL P MAK,2000,2904,1936,968,0,0,0,0,0,1936,2,1,2,1,2,20,100,16,64,,1,N,5,0,36000,172350,0,0,1930,0,0,,,1.45,1.25,0,2,3,3073190036,0,580,996251,157632,28c,Y,314 031,32202,,0,,1,,,17v1.1,59.34917355
BK,2129,7502,301,549,1003,14,33,11249,E221,90,30,500,2,1,,42 BROADWAY,C4-3,,,,,,,,,,N,RM,4,1,,,14996,50828,12080,38748,12080,0,0,0,0,0,2,3,6,30,31,149.96,100,149.96,100,,0,N,0,5,174149,3016811,14160,14160,2000,0,0,,,3.39,2.43,3.4,4.8,3,3021297502,867,549,993286,198106,12d,,303 006,30801,E-82,3021290021,2/21/2002,1,,,17v1.1,59.35332887
BK,1981,70,302,201,1001,13,35,11238,E210,88,36,1300,3,2,3A,448 GRAND AVENUE,R7A,,,,C2-4,,,,,,N,K4,4,0,P,MOHAMMED WIDDI,9000,10075,5375,4700,0,5375,0,0,0,0,2,4,2,8,15,100,90,20,60,E,0,N,3,5,36000,598050,0,0,1930,0,0,,,1.12,4,0,4,3,3019810070,0,201,994785,188066,16c,,302 042,30703,,0,,1,,,17v1.1,59.35980149
BK,8925,179,315,628,1017,22,46,11229,E321,61,37,8900,3,15,4D,2726 GERRITSEN AVENUE,R4,,,,C1-2,,,,,,N,K1,5,0,,NAVESINK PRESTIGE LLC,1050,940,940,0,0,940,0,0,0,0,2,1,1,0,1,20,52.5,20,47,,0,N,5,5,8550,55800,0,0,1920,2004,0,,,0.9,0.9,0,2,3,3089250179,0,628,1004996,155216,29a,,319 038,32605,,0,,1,,1,17v1.1,59.36170213
BK,8925,180,315,628,1017,22,46,11229,E321,61,37,8900,3,15,4D,2722 GERRITSEN AVENUE,R4,,,,C1-2,,,,,,N,K1,5,0,,ARTHUR GRAY,1050,940,940,0,0,940,0,0,0,0,2,1,1,0,1,20,52.5,20,47,,0,N,5,5,8550,55800,0,0,1920,0,0,,,0.9,0.9,0,2,3,3089250180,0,628,1004983,155231,29a,,319 038,32605,,0,,1,,1,17v1.1,59.36170213
BK,8925,181,315,628,1017,22,46,11229,E321,61,37,8900,3,15,4D,2720 GERRITSEN AVENUE,R4,,,,C1-2,,,,,,N,K1,5,0,P,DE NARDO ELIZABETH A,1050,940,940,0,0,940,0,0,0,0,2,1,1,0,1,20,52.5,20,47,,0,N,5,5,8550,55800,0,0,1920,0,0,,,0.9,0.9,0,2,3,3089250181,0,628,1004970,155247,29a,,319 038,32605,,0,,1,,1,17v1.1,59.36170213
BK,8925,182,315,628,1017,22,46,11229,E321,61,37,8900,3,15,4D,2718 GERRITSEN AVENUE,R4,,,,C1-2,,,,,,N,K1,5,0,,"DE NARDO, ELIZABETHAN",1050,940,940,0,0,940,0,0,0,0,2,1,1,0,1,20,52.5,20,47,,0,N,5,5,8550,55800,0,0,1920,0,0,,,0.9,0.9,0,2,3,3089250182,0,628,1004958,155261,29a,,319 038,32605,,0,,1,,1,17v1.1,59.36170213
BK,278,7502,302,43,4001,15,33,11201,E224,84,38,2400,2,2,,233 PACIFIC STREET,R6A,,,,C2-4,,DB,,,,N,R4,3,1,,,46000,41086,0,41086,0,0,0,0,0,0,2,1,5,28,28,1.05,0,191.46,155,,0,N,4,5,414000,2439005,354722,2379727,2010,0,0,,,0.89,3,0,3,3,3002787502,3208,43,986633,190297,16c,,300 000,30107,,0,,2,,,17v1.1,59.36340846
BK,2680,21,301,569,1001,14,33,11222,E229,94,30,100,3,1,3B,527 LEONARD STREET,R6B,,,,,,,,,,N,C1,2,0,,GRZESIK ZOFIA,2500,4787,0,4787,0,0,0,0,0,0,2,1,4,8,8,25,100,25,52,,3,N,5,2,6155,284182,0,163257,2001,0,0,,,1.91,2,0,2,3,3026800021,0,569,998213,202682,13a,,304 039,30904,,0,,1,,,17v1.1,59.36536453
BK,757,39,307,96,3000,15,38,11220,E201,72,39,6600,3,7,3D,4612 6 AVENUE,R6A,,,,,,,,,,N,C6,2,0,,4612  6 AVE  CP,2450,6496,0,6496,0,0,0,0,0,0,2,1,4,12,12,24.5,100,24.5,85,,0,N,5,5,9450,385650,0,0,1928,0,0,,,2.65,3,0,3,3,3007570039,0,96,982501,174602,22a,,306A028,30305,,0,,1,,,17v1.1,59.36730296
BK,8408,111,318,696.02,1006,22,46,11234,E323,63,35,8822,3,18,4C,2084 EAST 67 STREET,R3-2,,,,,,,,,,N,O7,5,0,,SHIRA REALTY LLC,2000,1948,1948,0,1948,0,0,0,0,0,2,1,2,0,1,20,100,20,44.67,G,2,N,3,1,42750,115650,0,0,1945,2009,0,,,0.97,0.6,0,1,3,3084080111,0,69602,1009073,164348,23d,,319 057,32502,,0,,1,,1,17v1.1,59.36858316
BK,1816,31,303,277,4001,13,36,11221,E235,79,32,2000,3,3,3B,644 GATES AVENUE,R6A,,,,C2-4,,,,,,N,K1,5,0,,CHEYENNE REALTY NO. 2,15000,13855,13855,0,0,13855,0,0,0,0,2,1,1,0,3,150,100,150,96,,0,N,3,5,202950,822600,0,464535,2000,0,0,,,0.92,3,0,3,3,3018160031,0,277,1001083,189676,17a,,305 019,30610,,3018160031,10/4/2016,1,,,17v1.1,59.37206785
BK,2115,17,302,181,3002,13,35,11217,L105,88,36,1200,3,2,3B,87 HANSON PLACE,R7A,,,,C2-4,,,,,,N,C5,2,0,,"EDWARDS, LORI",1390,3600,0,3600,0,0,0,0,0,0,2,1,3,12,12,20,69.83,20,45,,0,Y,5,1,8100,213750,0,0,1900,0,0,,,2.59,4,0,4,3,3021150017,0,181,991456,189113,16c,,302 036,30706,,0,,1,,,17v1.1,59.375
BK,5385,53,312,486,2001,20,39,11218,E250,66,35,7000,3,12,5D,115 DITMAS AVENUE,M1-1,,,,,,OP,,,,N,K1,5,0,,111-115 DITMAS AVENUE,5600,3600,3600,0,0,3600,0,0,0,0,2,1,1,0,3,40,140,40,90,,2,N,5,2,126000,213750,0,0,1930,0,0,,,0.64,0,1,2.4,3,3053850053,0,486,990476,170955,22c,,310A034,31609,,0,,1,,,17v1.1,59.375
BK,224,4,302,1,2002,13,33,11201,E205,84,38,2300,3,2,1A,109 COLUMBIA HEIGHTS,R6,,,,,,,,,LH-1,N,A5,1,0,,LOWE EILEEN J,2550,2200,0,2200,0,0,0,0,0,0,2,1,2,1,1,25.25,101,25.25,44.5,,2,N,5,0,21045,130636,0,0,1901,1995,0,Brooklyn Heights Historic District,,0.86,2.43,0,4.8,3,3002240004,0,1,985468,194025,12d,,302 014,30106,,0,,1,,,17v1.1,59.38
BK,1066,23,306,165,1000,15,39,11215,Q001,78,36,4500,3,6,3E,904 UNION STREET,R7B,,,,,,,,,,N,C6,2,0,,904 UNION TENANTS COR,2250,7252,550,6702,550,0,0,0,0,0,2,1,4,15,16,25,90,25,73,,0,N,5,2,31050,430650,9440,9440,1910,1985,0,,,3.22,3,0,3,3,3010660023,0,165,992068,184393,16c,,306 049,30405,,0,,1,,,17v1.1,59.38361831
BK,6658,62,315,422,2005,21,44,11223,L153,61,37,8510,3,11,6D,1963 MC DONALD AVENUE,R5,,,,C2-4,,OP,,,,N,K2,5,0,,1963 MCDONALD LLC,5250,13617,13617,0,4539,4539,0,4539,0,0,2,1,2,0,2,42.33,125,42.4,112,,3,Y,5,1,106200,808650,0,0,2012,2011,0,,,2.59,1.25,0,2,3,3066580062,0,422,992064,159654,22d,,314 036,32004,,0,,1,,,17v1.1,59.38532716
BK,2046,77,302,187,1007,13,35,11205,L119,88,36,1200,3,2,4D,118 VANDERBILT AVENUE,R5B,,,,,,,,,,N,D1,3,0,,"KIMIABAKHSH, HENGAME",5000,22875,0,22875,0,0,0,0,0,0,2,3,7,18,18,50,100,50,65,,0,N,5,5,112500,1358550,97160,1343210,2006,0,0,Wallabout Historic District,,4.58,1.35,0,2,3,3020460077,0,187,992476,192137,12d,,302 051,30705,,0,,1,,,17v1.1,59.39016393
BK,8770,13,315,606,1008,22,48,11235,L169,61,37,8721,3,15,3D,1720 SHEEPSHEAD BAY ROAD,R4,,,,C2-2,,,,,,N,Q9,9,0,,A & J PROPERTIES LLC,21100,34980,34980,0,0,0,0,0,0,34980,2,1,3,0,1,109.75,215.5,106,202,,0,Y,5,5,435600,2077650,0,0,1927,1989,0,,,1.66,0.9,0,2,3,3087700013,0,606,997581,152539,29a,,318 012,32603,,0,,1,1,1,17v1.1,59.39536878
BK,1071,34,306,157,3000,15,39,11215,Q001,78,36,4500,3,6,4E,259 GARFIELD PLACE,R7B,,,,,,,,,,N,C6,2,0,,253 259 OWNERS CORP,8360,24312,0,24312,0,0,0,0,0,0,2,2,4,17,17,104.5,80,53,65,,2,N,3,1,115200,1444050,31876,31876,1904,0,0,Park Slope Historic District,,2.91,3,0,3,3,3010710034,0,157,991152,183960,16c,,306 049,30405,,0,,1,,,17v1.1,59.39659427
BK,2269,40,301,507,1008,14,33,11206,E230,90,30,1500,3,1,4B,55 BARTLETT STREET,R7A,,,,,,,,,,N,G9,7,0,P,"GELB, GETZEL/CUST FOR",5000,2500,2500,0,0,0,2500,0,0,0,2,1,1,0,1,25,200,25,100,,0,N,4,5,51300,148500,0,0,1931,0,0,,,0.5,4,0,4,3,3022690040,0,507,999064,194871,13b,,303 036,30803,E-238,0,,1,,,17v1.1,59.4
