Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCenterDistrict,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLAG,PFIRM15_FLAG,Version,price_sf
BX,3329,85,207,431,4000,10,11,10467,L039,52,21,410,2,7,3A,3600 JEROME AVENUE,M1-2,R7-1,,,C1-3,,,,,,Y,W4,8,0,P,3600 JEROME LLC,29275,79275,79275,0,0,0,0,0,0,79275,2,1,2,0,1,125,200,125,200,,2,Y,5,0,317700,4623300,0,0,1929,1996,0,,,2.71,0,2,4.8,2,2033290085,0,431,1017814,261870,1d,,214 085,21203,,0,,1,,,17v1.1,58.31977294
BX,4126,40,211,252,1002,11,13,10462,L041,49,26,1220,2,11,1D,975 MORRIS PARK AVENUE,R4,,,,C1-4,,,,,,N,O5,5,0,,CAMAC HOWARD,10000,19948,19948,0,7835,2250,0,5000,0,4863,2,1,2,0,4,100,100,100,50,E,0,N,3,2,243000,1163700,0,0,1929,1981,2005,,,1.99,0.9,0,2,2,2041260040,0,252,1023808,248284,4b,,219 002,21507,,0,,1,,,17v1.1,58.33667536
BX,2676,2,201,79,1001,8,17,10455,E073,40,23,4100,2,1,2B,787 EAST 156 STREET,R6,,,,C2-4,,,,,,N,K2,5,0,P,762 WESTCHESTER AVE.,3930,7860,7860,0,0,7860,0,0,0,0,2,1,2,0,2,88,89.32,125,89,,1,Y,3,0,64800,458550,0,0,2011,0,0,,,2,2.43,0,4.8,2,2026760002,0,79,1010640,237295,6c,,210S015,21004,,2026760002,9/7/1994,1,,,17v1.1,58.33969466
BX,5518,173,210,138,2001,8,13,10465,E072,45,26,3220,2,10,2C,3134 MILES AVENUE,R4A,,,,,,,,,,N,K4,4,0,,3140 MILES AVENUE LLC,3483,4179,2520,1659,0,2520,0,0,0,0,2,1,2.5,1,3,58,54,52,43,,1,N,5,0,84600,243900,0,0,1925,2003,0,,,1.2,0.9,0,2,2,2055180173,0,138,1037172,238613,7c,,221 071,21806,,0,,1,,,17v1.1,58.3632448
BX,4721,40,212,386,8000,11,12,10469,E038,47,24,620,2,12,2D,3479 BOSTON ROAD,C4-2,,,,,,,,,,N,K1,5,0,,RICHARD M COPLAND,5200,3730,3730,0,0,3730,0,0,0,0,2,1,1,0,4,52,100,52,71.67,,0,N,3,5,112500,217800,0,0,1930,0,0,,,0.72,2.43,3.4,4.8,2,2047210040,0,386,1026388,258801,2b,,218 033,21608,,0,,1,,,17v1.1,58.39142091
BX,2340,105,201,51,2004,7,8,10451,L017,40,23,3800,2,1,1A,2630 PARK AVENUE,M1-2,,,,,,,,,,N,O2,5,0,,CRYSTAL WASTE PAPER I,4179,8300,8300,0,7300,0,1000,0,0,0,2,1,2,0,4,50,83.58,50,83,,0,N,3,5,18900,484650,0,0,1931,1993,0,,,1.99,0,2,4.8,2,2023400105,0,51,1004212,235848,6a,,209N068,20903,,0,,1,,1,17v1.1,58.39156627
BX,5634,136,210,516,2001,11,13,10464,L053,45,24,720,2,10,1C,415 CITY ISLAND AVENUE,R3A,,,,,,CD,,,,N,C3,2,0,,"MCGUIRE, VIRGINIA",8036,3200,0,3200,0,0,0,0,0,0,2,2,2,4,4,50.5,176,27,38,,0,Y,5,5,28233,186857,0,0,1990,0,0,,,0.4,0.6,0,1,2,2056340136,0,516,1042842,249063,4c,,218 062,21810,,0,,1,1,1,17v1.1,58.3928125
BX,2574,70,201,35,1007,7,8,10454,E083,40,23,4100,2,1,2A,390 CONCORD AVENUE,M1-2,,,,,,,,,,N,F5,6,0,,SAFEGUARD CHEMICAL CO,19998,11134,11134,0,0,0,0,0,9893,1241,2,1,1,0,1,100,100,120,80,,1,N,3,0,270000,650250,0,0,2011,0,0,,,0.56,0,2,4.8,2,2025740070,0,35,1009344,233989,6c,,209S036,21001,,2025740070,4/8/2011,1,,,17v1.1,58.40219149
BX,3247,70,207,409,1006,10,11,10468,L046,52,21,310,2,7,2A,2800 RESERVOIR AVENUE,R6,,,,,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,360000,453364,453364,0,0,0,0,0,0,453364,2,3,5,0,1,623,656,195,164,,1,Y,5,0,2297250,26477550,2297250,26477550,1927,1987,1996,,,1.26,2.43,0,4.8,2,2032470070,0,409,1012937,256222,3c,,213 020,21201,,2032470070,3/3/2000,1,,,17v1.1,58.40240954
BX,4358,1,211,324,1002,11,13,10469,E097,49,24,820,2,11,2C,925 ASTOR AVENUE,R5,,,,,,,,,,N,W1,8,0,C,DCAS/DEPARTMENT OF ED,224020,240532,240532,0,240532,0,0,0,0,0,2,1,4,0,1,460.42,477.69,190,421,,0,Y,3,5,2034450,14053500,2034450,14053500,1939,2010,0,,,1.07,1.25,0,2,2,2043580001,0,324,1022772,252791,4a,,220 035,21601,,0,,1,,,17v1.1,58.4267374
